iter	RMSE
0	14.91745776
1	14.82250135
2	14.71958921
3	14.62061778
4	14.53399857
5	14.44708037
6	14.36379269
7	14.28569407
8	14.20477532
9	14.13038496
10	14.05163987
11	13.95370693
12	13.87003572
13	13.78014749
14	13.70203513
15	13.61293935
16	13.53052084
17	13.44924524
18	13.36254742
19	13.27614322
20	13.18892897
21	13.1008605
22	13.02072403
23	12.94217809
24	12.86785207
25	12.7895475
26	12.70845007
27	12.62975175
28	12.55887377
29	12.4886823
30	12.41782483
31	12.3397651
32	12.259747
33	12.19533163
34	12.11789706
35	12.05293683
36	11.97958756
37	11.91970559
38	11.84652064
39	11.78750099
40	11.72551831
41	11.66615131
42	11.60129552
43	11.52995189
44	11.47388813
45	11.41208414
46	11.34569189
47	11.29147
48	11.23028803
49	11.16599047
50	11.11672862
51	11.06209611
52	11.00429624
53	10.94362806
54	10.8798331
55	10.82650946
56	10.77475666
57	10.71375841
58	10.65356751
59	10.59901832
60	10.54046127
61	10.49693433
62	10.44497722
63	10.38752516
64	10.33278006
65	10.2842731
66	10.23203206
67	10.18161363
68	10.13351196
69	10.07939175
70	10.02624009
71	9.976914831
72	9.925168932
73	9.874572411
74	9.834139042
75	9.794483695
76	9.75271358
77	9.712717579
78	9.667484861
79	9.622061009
80	9.574999084
81	9.528725711
82	9.485758276
83	9.441796747
84	9.397088801
85	9.353573105
86	9.31596093
87	9.279011927
88	9.235551981
89	9.200767617
90	9.159746186
91	9.118367071
92	9.079832802
93	9.04497471
94	9.003890926
95	8.970691898
96	8.937873131
97	8.905026042
98	8.872016148
99	8.834778515
100	8.80070649
101	8.767130777
102	8.728378135
103	8.692291408
104	8.655609778
105	8.624773489
106	8.59151014
107	8.558300419
108	8.522001079
109	8.48718624
110	8.458310308
111	8.425933999
112	8.393950846
113	8.361687725
114	8.327398806
115	8.296371855
116	8.264717112
117	8.233549157
118	8.206397224
119	8.175259683
120	8.147893203
121	8.117787557
122	8.085463625
123	8.057653064
124	8.026345671
125	7.995355843
126	7.966772774
127	7.940511692
128	7.914581464
129	7.884009696
130	7.857385159
131	7.828079457
132	7.79982767
133	7.771297244
134	7.746617971
135	7.725810079
136	7.702128264
137	7.678479464
138	7.650871828
139	7.625886997
140	7.601283354
141	7.579476134
142	7.557852364
143	7.536914425
144	7.515460408
145	7.491348805
146	7.467781728
147	7.447369256
148	7.426257742
149	7.404314778
150	7.380902433
151	7.35789263
152	7.340028687
153	7.321701284
154	7.302093316
155	7.280156744
156	7.258568168
157	7.240977263
158	7.223761887
159	7.207714196
160	7.192988926
161	7.175373257
162	7.155927459
163	7.135432874
164	7.118925928
165	7.099580278
166	7.07929434
167	7.061736896
168	7.043006461
169	7.024678106
170	7.010760947
171	6.995732056
172	6.9764384
173	6.960297723
174	6.942663409
175	6.928307127
176	6.913854701
177	6.897037406
178	6.884869432
179	6.870310552
180	6.858594083
181	6.845067076
182	6.827775737
183	6.813153782
184	6.796311111
185	6.784346329
186	6.771230386
187	6.75591885
188	6.744204476
189	6.727201781
190	6.711573326
191	6.696228658
192	6.681716358
193	6.667596699
194	6.65526978
195	6.641696749
196	6.629081301
197	6.615635329
198	6.601721935
199	6.590624473
200	6.57692595
201	6.562274623
202	6.549592426
203	6.536587852
204	6.523198793
205	6.510236929
206	6.496911347
207	6.487954788
208	6.47598415
209	6.462989218
210	6.453182277
211	6.440135753
212	6.429064892
213	6.417378714
214	6.404432408
215	6.396737986
216	6.386454761
217	6.377670178
218	6.367847461
219	6.35787814
220	6.34766572
221	6.337773243
222	6.328441227
223	6.319974417
224	6.313141187
225	6.302685212
226	6.292575666
227	6.282729181
228	6.273100389
229	6.26408884
230	6.255887737
231	6.247395065
232	6.236658847
233	6.227727931
234	6.221828242
235	6.211449299
236	6.203842106
237	6.194353288
238	6.184455642
239	6.175828417
240	6.168046549
241	6.160641601
242	6.151552343
243	6.143602978
244	6.134826417
245	6.125867872
246	6.118022671
247	6.110559809
248	6.104236602
249	6.096221736
250	6.086987835
251	6.079659722
252	6.072636471
253	6.067108649
254	6.060488194
255	6.052986394
256	6.046041337
257	6.038740482
258	6.031469519
259	6.025639004
260	6.018581578
261	6.012307963
262	6.006639472
263	5.999850219
264	5.993956532
265	5.987802238
266	5.983120804
267	5.975998865
268	5.968148694
