iter	Passed	Remaining
0	1	1826
1	3	1768
2	5	1709
3	6	1697
4	8	1696
5	10	1705
6	12	1705
7	13	1705
8	15	1698
9	17	1691
10	18	1684
11	20	1676
12	22	1676
13	23	1673
14	25	1672
15	27	1673
16	28	1665
17	30	1663
18	32	1659
19	33	1653
20	35	1651
21	37	1654
22	38	1653
23	40	1651
24	42	1650
25	43	1645
26	45	1642
27	47	1639
28	48	1637
29	50	1636
30	52	1635
31	54	1635
32	55	1631
33	57	1626
34	58	1624
35	60	1623
36	62	1621
37	63	1618
38	65	1615
39	67	1613
40	68	1611
41	70	1610
42	72	1608
43	73	1606
44	75	1606
45	77	1602
46	78	1599
47	80	1595
48	82	1594
49	83	1591
50	85	1590
51	87	1588
52	88	1586
53	90	1585
54	92	1583
55	93	1583
56	95	1581
57	97	1580
58	98	1578
59	100	1575
60	102	1573
61	103	1571
62	105	1570
63	107	1568
64	108	1566
65	110	1565
66	112	1562
67	113	1559
68	115	1557
69	117	1555
70	118	1553
71	120	1550
72	122	1549
73	123	1549
74	125	1548
75	127	1547
76	129	1547
77	130	1545
78	132	1544
79	134	1543
80	136	1544
81	137	1539
82	139	1539
83	141	1540
84	143	1542
85	145	1541
86	147	1542
87	148	1543
88	150	1543
89	152	1542
90	154	1541
91	156	1540
92	157	1539
93	159	1538
94	161	1536
95	163	1536
96	165	1536
97	166	1535
98	168	1533
99	170	1533
100	172	1532
101	173	1529
102	175	1528
103	177	1527
104	178	1525
105	180	1523
106	182	1521
107	184	1520
108	185	1519
109	187	1518
110	189	1517
111	191	1515
112	192	1514
113	194	1512
114	196	1511
115	198	1509
116	199	1508
117	201	1506
118	203	1505
119	205	1504
120	206	1503
121	208	1501
122	210	1501
123	212	1499
124	214	1498
125	215	1496
126	217	1495
127	219	1493
128	221	1492
129	222	1491
130	224	1489
131	226	1488
132	228	1487
133	229	1485
134	231	1484
135	233	1483
136	235	1481
137	236	1480
138	238	1475
139	239	1473
140	241	1471
141	243	1470
142	245	1468
143	246	1466
144	248	1465
145	250	1464
146	252	1462
147	253	1461
148	255	1459
149	257	1458
150	259	1456
151	260	1451
152	261	1450
153	263	1448
154	265	1447
155	267	1446
156	269	1444
157	270	1443
158	272	1441
159	274	1440
160	276	1438
161	277	1437
162	279	1435
163	281	1434
164	283	1432
165	284	1430
166	286	1429
167	288	1427
168	290	1426
169	291	1424
170	293	1422
171	295	1421
172	297	1420
173	298	1418
174	300	1416
175	302	1415
176	304	1414
177	305	1409
178	306	1408
179	308	1404
180	310	1403
181	311	1401
182	313	1399
183	315	1397
184	316	1395
185	318	1394
186	320	1392
187	322	1391
188	323	1389
189	325	1387
190	327	1386
191	329	1384
192	330	1383
193	332	1381
194	334	1380
195	336	1378
196	337	1374
197	339	1373
198	340	1371
199	342	1370
200	344	1368
201	346	1367
202	347	1365
203	349	1364
204	351	1362
205	353	1360
206	354	1359
207	356	1357
208	358	1356
209	360	1354
210	361	1352
211	363	1351
212	365	1349
213	367	1348
214	369	1347
215	370	1345
216	372	1344
217	374	1343
218	376	1342
219	378	1340
220	380	1339
221	381	1338
222	383	1336
223	385	1335
224	387	1334
225	389	1333
226	391	1332
227	393	1331
228	395	1329
229	396	1328
230	398	1327
231	400	1326
232	402	1325
233	404	1323
234	406	1322
235	408	1321
236	409	1319
237	411	1318
238	413	1317
239	415	1315
240	417	1314
241	419	1313
242	421	1311
243	422	1310
244	424	1309
245	426	1307
246	428	1305
247	430	1304
248	432	1303
249	433	1301
250	435	1300
251	437	1299
252	439	1298
253	441	1297
254	443	1296
255	445	1294
256	447	1293
257	449	1292
258	451	1291
259	453	1289
260	454	1288
261	456	1286
262	458	1285
263	459	1282
264	461	1280
265	463	1279
266	465	1277
267	467	1276
268	469	1275
269	471	1273
270	473	1272
271	474	1271
272	476	1269
273	478	1268
274	480	1267
275	482	1265
276	484	1264
277	486	1262
278	487	1260
279	489	1259
280	491	1257
281	493	1256
282	495	1255
283	497	1254
284	499	1252
285	501	1250
286	502	1249
287	504	1247
288	506	1246
289	508	1245
290	510	1243
291	512	1242
292	514	1241
293	516	1239
294	518	1238
295	520	1237
296	522	1236
297	524	1234
298	526	1233
299	528	1232
300	530	1231
301	532	1230
302	534	1228
303	536	1227
304	538	1226
305	540	1225
306	542	1223
307	544	1222
308	546	1221
309	548	1220
310	550	1218
311	552	1217
312	554	1216
313	556	1215
314	558	1213
315	560	1212
316	562	1210
317	563	1209
318	565	1208
319	567	1206
320	569	1204
321	571	1203
322	573	1202
323	575	1200
324	577	1199
325	579	1197
326	581	1196
327	583	1194
328	585	1193
329	587	1192
330	589	1190
331	591	1189
332	593	1188
333	595	1186
334	597	1185
335	599	1183
336	601	1182
337	602	1180
338	605	1179
339	606	1178
340	608	1176
341	610	1175
342	612	1173
343	614	1172
344	616	1171
345	618	1169
346	620	1168
347	622	1166
348	624	1164
349	626	1163
350	628	1162
351	629	1158
352	631	1157
353	633	1155
354	635	1154
355	637	1152
356	639	1151
357	641	1149
358	643	1148
359	644	1146
360	647	1145
361	648	1143
362	650	1142
363	652	1140
364	654	1139
365	656	1137
366	658	1136
367	660	1135
368	662	1133
369	664	1132
370	666	1130
371	668	1129
372	670	1127
373	672	1126
374	674	1124
375	676	1123
376	678	1121
377	680	1120
378	682	1118
379	684	1117
380	686	1115
381	688	1114
382	690	1112
383	692	1111
384	694	1109
385	696	1107
386	698	1106
387	700	1104
388	702	1103
389	704	1101
390	706	1100
391	708	1098
392	710	1097
393	711	1093
394	713	1092
395	715	1090
396	717	1089
397	719	1087
398	721	1086
399	722	1084
400	724	1082
401	726	1081
402	728	1079
403	730	1078
404	732	1076
405	734	1075
406	736	1073
407	738	1071
408	740	1070
409	742	1068
410	744	1067
411	746	1065
412	748	1064
413	750	1062
414	752	1060
415	754	1059
416	756	1057
417	758	1055
418	760	1054
419	762	1053
420	764	1051
421	766	1050
422	768	1048
423	770	1047
424	772	1045
425	774	1043
426	776	1042
427	778	1040
428	780	1038
429	782	1037
430	784	1035
431	786	1034
432	788	1032
433	790	1031
434	792	1029
435	794	1028
436	796	1026
437	798	1024
438	800	1023
439	802	1021
440	804	1019
441	806	1018
442	808	1016
443	810	1015
444	812	1013
445	814	1011
446	816	1010
447	818	1008
448	820	1006
449	822	1005
450	824	1003
451	826	1002
452	828	1000
453	830	999
454	832	997
455	834	995
456	836	994
457	838	992
458	839	989
459	842	988
460	844	986
461	846	985
462	848	983
463	850	982
464	852	980
465	854	978
466	855	976
467	858	975
468	859	973
469	861	971
470	863	969
471	865	968
472	867	966
473	869	964
474	871	963
475	873	961
476	875	959
477	877	958
478	879	956
479	881	955
480	883	953
481	885	951
